,to_freeze_name,market_cap_rank,Unnamed: 2,Unnamed: 0,name,american_progress_list,market_cap,price,cik_str,ticker,title_searchable,title_confirmed,just_tech_or_non_tech,tech_or_non_tech,ten_k_document_link,actual_full_ten_k_document_link,most_recent_tax_benefits_from_stock_based_compensation_over_net_income,most_recent_tax_benefits_from_stock_based_compensation,tax_benefits_from_stock_based_compensation_2023,tax_benefits_from_stock_based_compensation_2022,tax_benefits_from_stock_based_compensation_2021,tax_benefits_from_stock_based_compensation_2020,tax_benefits_note,most_recent_stock_or_share_based_compensation,most_recent_stock_or_share_based_compensation_expounded,stock_or_share_based_compensation_end_of_2023,stock_or_share_based_compensation_end_of_2022,stock_or_share_based_compensation_end_of_2021,stock_or_share_based_compensation_end_of_2020,stock_notes,most_recent_tax_rates_low_or_above_ten,most_recent_tax_rates_low_or_above_ten_expounded,most_recent_tax_rates,most_recent_tax_rates_expounded,tax_rates_2023,tax_rates_2022,tax_rates_2021,tax_rates_2020,most_recent_net_income,most_recent_net_income_expounded,net_income_2023,net_income_2022,net_income_2021,net_income_2020,stock_based_compensation_as_a_portion_of_net_income,python_calc_stock_based_compensation_as_a_portion_of_net_income_pct,python_calc_most_recent_tax_benefits_from_stock_based_compensation_over_net_income_pct
10,UnitedHealth,11,10,10,UnitedHealth,absent,$441.25 B,$471.22,731766,UNH,UNITEDHEALTH GROUP INC,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/731766/000073176623000008/0000731766-23-000008-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/731766/000073176623000008/unh-20221231.htm,,,,207,173,208,Income tax benefit realized from share-based award exercises,925,925,,925,800,679,,,,,unclear,,unclear,unclear,unclear,20120,"20,120",,"20,120","17,285","15,403",5,4.597415507,1.028827038
11,Exxon Mobil,12,11,11,Exxon Mobil,present,$432.23 B,$106.91,34088,XOM,EXXON MOBIL CORP,,non_tech,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/34088/000003408823000020/xom-20221231.htm,0,52,,52,49,51,,648,648,,648,612,672,"The compensation cost charged against income for the restricted stock and restricted stock units was $648 million, $612 million, and $672 million for 2022, 2021, and 2020, respectively. ",above_ten,above_ten,33,33,,33,31,17,55740,"55,740",,"55,740","23,040","-22,440",1,1.162540366,0.09329027628
12,Walmart,13,12,12,Walmart,absent,$425.76 B,$158.11,104169,WMT,Walmart Inc.,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/104169/000010416923000020/0000104169-23-000020-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm,4,400,,400,300,300,,1578,"1,578",,"1,578","1,163","1,169",,above_ten,above_ten,33.6,33.6,,33.6,25.4,33,11292,"11,292","11,292","13,940",,,14,13.97449522,3.542330854
13,Johnson & Johnson,14,13,13,Johnson & Johnson,absent,$423.09 B,$162.81,200406,JNJ,JOHNSON & JOHNSON,,non_tech,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/200406/000020040623000016/jnj-20230101.htm,0,-1.3,,-1.3,-1,-1.5,,1138,1138,,1138,1135,1005,,above_ten,above_ten,17.4,17.4,,17.4,8.3,11,17941,"17,941",,"17,941","20,878","14,714",6,6.34301321,-0.007245972911
14,JPMorgan Chase,15,14,14,JPMorgan Chase,present,$422.68 B,$144.64,19617,JPM,JPMORGAN CHASE & CO,,non_tech,non_tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mastercard,16,15,15,Mastercard,absent,$373.43 B,$394.73,1141391,MA,Mastercard Inc,,tech,tech,https://www.sec.gov//Archives/edgar/data/1141391/000114139123000020/0001141391-23-000020-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1141391/000114139123000020/ma-20221231.htm,,,,49,36,68,Income tax benefit realized related to Options exercised,295,295,,295,273,254,,above_ten,above_ten,15.7,15.7,,15.7,15.4,,35465,"35,465",,"35,465","15,625","-5,543",1,0.8318060059,0.1381643874
16,Procter & Gamble,17,16,16,Procter & Gamble,absent,$358.82 B,$152.24,80424,PG,PROCTER & GAMBLE Co,,non_tech,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/80424/000008042422000064/pg-20220630.htm,1,88,,88,102,97,,528,528,,528,540,558,,above_ten,above_ten,17.8,17.8,,17.8,18.5,17,14793,"14,793",,"14,793","14,352","13,103",4,3.569255729,0.5948759548
17,Broadcom,18,17,17,Broadcom,absent,$355.67 B,$861.86,1730168,AVGO,Broadcom Inc.,,tech,tech,https://www.sec.gov//Archives/edgar/data/1730168/000173016822000118/0001730168-22-000118-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1730168/000173016822000118/avgo-20221030.htm,2,255,,255,283,345,,1533,"1,533",,"1,533","1,704","1,976",,low,low,7.5,7.5,,7.5,0.4,-21,11495,"11,495",,"11,495","6,736","2,960",13,13.33623314,2.218355807
18,Oracle,19,18,18,Oracle,absent,$314.74 B,$115.96,1341439,ORCL,ORACLE CORP,,tech,tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001341439/000095017023028914/orcl-20230531.htm,32,"3,547",,"2,745","2,020","1,424",,2613,"3,547","3,547",2613,1837,,,low,low,6.8,6.8,6.8,12.2,-5.7,,8503,"8,503",,"8,503","6,717","13,746",31,30.73033047,32.28272374
19,Home Depot,20,19,19,Home Depot,absent,$313.09 B,$310.80,354950,HD,"HOME DEPOT, INC.",,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/354950/000035495023000059/0000354950-23-000059-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/354950/000035495023000059/hd-20230129.htm,0,-73,,-73,-86,-58,,367,367,,367,403,310,,above_ten,above_ten,23.9,23.9,,23.9,24.4,24,17105,"17,105",,"17,105","16,433","12,866",2,2.14557147,-0.4267757966
20,Chevron,21,20,20,Chevron,present,$292.47 B,$156.31,93410,CVX,CHEVRON CORP,,,non_tech_unsure,,https://www.sec.gov/ix?doc=/Archives/edgar/data/93410/000009341023000009/cvx-20221231.htm,,,,"5,835","1,274",226,"Cash received in payment for option exercises under all share-based payment arrangements for 2022, 2021 and 2020 was $5,835, $1,274 and $226, respectively. Actual tax benefits realized for the tax deductions from option exercises were $216, $(15) and $8 for 2022, 2021 and 2020, respectively.",5838,5838,,5838,1421,226,,above_ten,above_ten,28.3,28.3,,28.3,27.5,25,35465,"35,465",,"35,465","15,625","-5,543",16,16.46129987,16.45284083
21,Merck,22,21,21,Merck,present,$291.18 B,$113.70,310158,MRK,"Merck & Co., Inc.",,tech,tech,https://www.sec.gov//Archives/edgar/data/310158/000162828023005061/0001628280-23-005061-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/310158/000162828023005061/mrk-20221231.htm,,78,,78,69,65,,541,541,,541,498,475,,above_ten,above_ten,11.7,11.7,,11.7,11,,,,,,,,,,
22,Coca-Cola,23,22,22,Coca-Cola,present,$263.92 B,$61.03,21344,KO,COCA COLA CO,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/21344/000002134423000011/0000021344-23-000011-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/21344/000002134423000011/ko-20221231.htm,1,55,,55,60,32,,361,361,,361,337,141,,above_ten,above_ten,18.1,18.1,,18.1,21.1,,9571,"9,571",,"9,571","9,804","7,768",4,3.771810678,0.5746525964
23,Pepsico,24,23,23,Pepsico,absent,$257.04 B,$186.58,77476,PEP,PEPSICO INC,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/77476/000007747623000007/0000077476-23-000007-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/77476/000007747623000007/pep-20221231.htm,0,62,,62,57,48,,343,343,,343,301,264,,,,,unclear annual tax rate: 16.1         %                21.8         %,,unclear annual tax rate: 16.1         %                21.8         %,,,14519,"14,519",,"14,519","13,049","7,067",2,2.362421654,0.4270266547
24,AbbVie,25,24,24,AbbVie,absent,$242.80 B,$137.62,1551152,ABBV,AbbVie Inc.,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/1551152/000155115223000011/0001551152-23-000011-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1551152/000155115223000011/abbv-20221231.htm,1,122,,122,126,131,,671,671,,671,692,753,pre-tax,above_ten,above_ten,12.1,12.1,,12.1,11.1,-36,11845,"11,845",,"11,845","11,549","4,622",6,5.664837484,1.029970452
25,Costco,26,25,25,Costco,absent,$239.80 B,$541.13,909832,COST,COSTCO WHOLESALE CORP /NEW,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/909832/000090983222000021/0000909832-22-000021-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,3,154,,154,140,128,Less recognized income tax benefit,724,724,,724,665,619,,above_ten,above_ten,24.6,24.6,,24.6,24,24,5844,"5,844",,"5,844","5,007","4,002",12,12.38877481,2.635181383
26,Bank of America,27,26,26,Bank of America,present,$231.74 B,$29.08,70858,BAC,BANK OF AMERICA CORP /DE/,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/70858/000007085823000092/0000070858-23-000092-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/70858/000007085823000092/bac-20221231.htm,3,697,,697,723,505,,2862,2862,,2862,2768,2031,,above_ten,above_ten,11.1,11.1,,11.1,5.9,,27528,"27,528",,"27,528","31,978","17,894",10,10.39668701,2.531967451
27,Adobe,28,27,27,Adobe,absent,$223.50 B,$487.26,796343,ADBE,ADOBE INC.,,tech,tech,https://www.sec.gov//Archives/edgar/data/796343/000079634323000007/0000796343-23-000007-index.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634323000007/adbe10kfy22unofficialpdfa.pdf,,,,pdf,pdf,pdf,,,pdf,,pdf,pdf,pdf,,,,,pdf,,unsearchable,,,,pdf,,pdf,,,,,
28,McDonald,29,28,28,McDonald,absent,$216.76 B,$296.90,63908,MCD,MCDONALDS CORP,,non_tech,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/63908/000006390823000012/mcd-20221231.htm,,,,,,,,166.7,166.7,,166.7,139.2,92.4,,above_ten,above_ten,21.1,21.1,,21.1,17.3,,6177,"6,177",,"6,177","7,545","4,731",3,2.698721062,
29,Cisco,30,29,29,Cisco,absent,$209.90 B,$51.51,858877,CSCO,"CISCO SYSTEMS, INC.",,tech,tech,https://www.sec.gov//Archives/edgar/data/858877/000085887722000013/0000858877-22-000013-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/858877/000085887722000013/csco-20220730.htm,4,457,,457,387,452,,1886,"1,886",,"1,886","1,761","1,569",,above_ten,above_ten,18.4,18.4,,18.4,20.1,,11812,"11,812",,"11,812","10,591","11,214",16,15.96681341,3.868946834
30,Salesforce,31,30,30,Salesforce,absent,$208.26 B,$213.82,1108524,CRM,"Salesforce, Inc.",,tech,tech,https://www.sec.gov//Archives/edgar/data/1108524/000110852423000011/0001108524-23-000011-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1108524/000110852423000011/crm-20230131.htm,,,,,,,,3279,"3,279","3,279","2,779","2,190",,,above_ten,above_ten,68,68,68,6,,,208,208,208,"1,444","4,072",,"1,576",1576.442308,
31,Pfizer,32,31,31,Pfizer,absent,$205.99 B,$36.46,78003,PFE,PFIZER INC,,non_tech,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/78003/000007800323000024/pfe-20221231.htm,1,160,,160,227,141,,872,872,,872,1182,755,,,,,"(a)Items that reconcile GAAP Reported to non-GAAP Adjusted balances are shown pre-tax. Our effective tax rates for GAAP Reported income from continuing operations were: 9.6% in 2022, 7.6% in 2021 and 5.3% in 2020. See Note 5. Our effective tax rates for non-GAAP Adjusted income were: 11.7% in 2022, 14.5% in 2021 and 13.5% in 2020.",,"(a)Items that reconcile GAAP Reported to non-GAAP Adjusted balances are shown pre-tax. Our effective tax rates for GAAP Reported income from continuing operations were: 9.6% in 2022, 7.6% in 2021 and 5.3% in 2020. See Note 5. Our effective tax rates for non-GAAP Adjusted income were: 11.7% in 2022, 14.5% in 2021 and 13.5% in 2020.",,,31407,"31,407",,"31,407","22,025","9,195",3,2.77645111,0.5094405706
32,Thermo Fisher Scientific,33,32,32,Thermo Fisher Scientific,absent,$200.80 B,$520.60,97745,TMO,THERMO FISHER SCIENTIFIC INC.,,tech,tech,https://www.sec.gov//Archives/edgar/data/97745/000009774523000008/0000097745-23-000008-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/97745/000009774523000008/tmo-20221231.htm,,,,,,,,307,307,,307,230,196,,,,,,,,,,6960,"6,960",,"6,960","7,728","6,377",4,4.41091954,
33,Netflix,34,33,33,Netflix,absent,$198.22 B,$445.90,1065280,NFLX,NETFLIX INC,,tech,tech,https://www.sec.gov//Archives/edgar/data/1065280/000106528023000035/0001065280-23-000035-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1065280/000106528023000035/nflx-20221231.htm,,,,,,,,575.452,575.452,,575.452,403.22,415.18,,above_ten,above_ten,15,15,,15,12,14,4492,"4,492",,"4,492","5,116","2,761",13,12.81059662,
34,Abbott Laboratories,35,34,34,Abbott Laboratories,absent,$189.84 B,$107.37,1800,ABT,ABBOTT LABORATORIES,,tech,tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1800/000162828023004026/abt-20221231.htm,2,170,,170,267,200,"Total non-cash stock compensation expense charged against income from continuing operations in 2022, 2021 and 2020 for share-based plans totaled approximately $685 million, $640 million and $546 million, respectively, and the tax benefit recognized was approximately $170 million, $267 million and $200 million, respectively. Stock compensation cost capitalized as part of inventory is not significant.",-685,-685,,-685,-640,-546,,above_ten,above_ten,16.5,16.5,,16.5,13.9,10,6933,"6,933",,"6,933","7,071","4,495",-10,-9.880282706,2.452040964
35,AMD,36,35,35,AMD,absent,$183.50 B,$113.95,750686,CAC,CAMDEN NATIONAL CORP,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/750686/000075068623000033/0000750686-23-000033-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/750686/000075068623000033/cac-20221231.htm,,,,,,,,2.553,2.553,,2.553,2.381,1.785,,above_ten,above_ten,20.3,20.3,,20.3,20.3,20,61,61,,61,69,59,4,4.185245902,
36,Danaher,37,36,36,Danaher,absent,$175.16 B,$237.38,313616,DHR,DANAHER CORP /DE/,,tech,tech,https://www.sec.gov//Archives/edgar/data/313616/000031361623000087/0000313616-23-000087-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/313616/000031361623000087/dhr-20221231.htm,-1,-68,,-68,-44,-39,,195,195,,195,129,114,,above_ten,above_ten,13.1,13.1,,13.1,16.5,19,7209,"7,209",,"7,209","6,433","3,646",3,2.704952143,-0.9432653627
37,Comcast,38,37,37,Comcast,absent,$172.92 B,$41.48,1166691,CMCSA,COMCAST CORP,,tech,tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1166691/000116669123000010/cmcsa-20221231.htm,,,,,,,,1336,1336,,1336,1315,1193,,above_ten,above_ten,47,47,,47,27.5,,4925,"4,925",,"4,925","13,833","10,701",27,27.12690355,
38,T-Mobile US,39,38,38,T-Mobile US,absent,$167.45 B,$139.56,1283699,TMUS,"T-Mobile US, Inc.",,tech,tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1283699/000128369923000016/tmus-20221231.htm,4,114,,114,100,132,,595,595,,595,540,694,,above_ten,above_ten,17.7,17.7,,17.7,9.8,,2590,"2,590",,"2,590","3,024","3,064",23,22.97297297,4.401544402
39,Nike,40,39,39,Nike,present,$166.51 B,$107.10,320187,NKE,"NIKE, Inc.",,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/320187/000032018722000038/0000320187-22-000038-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,5,327,,327,297,207,,638,638,,638,611,429,,low,low,9.1,9.1,,9.1,14,12,6046,"6,046",,"6,046","5,727","2,539",11,10.55243136,5.408534568
40,Walt Disney,41,40,40,Walt Disney,absent,$164.07 B,$89.79,1744489,DIS,Walt Disney Co,,non_tech,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1744489/000119312523014219/d431948d10ka.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,,,,unclear,,unclear,unclear,unclear,,,,,,,,,
41,Wells Fargo,42,41,41,Wells Fargo,absent,$163.14 B,$43.48,72971,WFC,WELLS FARGO & COMPANY/MN,,non_tech,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/72971/000007297123000071/wfc-20221231.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,,,,unclear,,unclear,unclear,unclear,,,,,,,,,
42,Texas Instruments,43,42,42,Texas Instruments,absent,$160.22 B,$176.53,97476,TXN,TEXAS INSTRUMENTS INC,,tech,tech,https://www.sec.gov//Archives/edgar/data/97476/000009747623000007/0000097476-23-000007-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/97476/000009747623000007/txn-20221231.htm,1,110,,110,175,195,,289,289,,289,230,224,,above_ten,above_ten,12.8,12.8,,12.8,12.9,7,8749,"8,749",,"8,749","7,769","5,595",3,3.303234655,1.257286547
43,Verizon,44,43,43,Verizon,present,$157.56 B,$37.48,732712,VZ,VERIZON COMMUNICATIONS INC,,tech,tech,https://www.sec.gov//Archives/edgar/data/732712/000073271223000012/0000732712-23-000012-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/732712/000073271223000012/vz-20221231.htm,,,,,,,,609,609,,609,625,780,"After-tax compensation expense for stock-based compensation related to RSUs and PSUs described above included in Net income attributable to Verizon was $609 million, $625 million and $780 million for 2022, 2021 and 2020, respectively.",,,,unclear,,unclear,unclear,unclear,21748,"21,748",,"21,748","22,618","18,348",3,2.800257495,
44,United Parcel Service,45,44,44,United Parcel Service,present,$154.57 B,$179.97,1090727,UPS,UNITED PARCEL SERVICE INC,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/1090727/000109072723000006/0001090727-23-000006-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1090727/000109072723000006/ups-20221231.htm,4,451,,451,301,210,,1568,"1,568",,"1,568",878,796,"Beginning in 2023, these matching contributions will be made in cash. The total expense recognized in our statements of consolidated income under all stock compensation programs during 2022, 2021 and 2020 was $1,568, $878 and $796 million, respectively.",above_ten,above_ten,22.1,22.1,,22.1,22.3,,11548,"11,548",,"11,548","12,890","1,343",14,13.57810876,3.905438171
45,Nextera Energy,46,45,45,Nextera Energy,absent,$151.65 B,$74.95,753308,NEE,NEXTERA ENERGY INC,,tech,tech,https://www.sec.gov//Archives/edgar/data/753308/000075330823000019/0000753308-23-000019-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/37634/000075330823000019/nee-20221231.htm,1,20,,20,19,21,,,unclear,,unclear,unclear,unclear,,above_ten,above_ten,15,15,,15,11,,3246,"3,246",,"3,246","2,827","2,369",,,0.6161429452
46,Philip Morris,47,46,46,Philip Morris,absent,$151.26 B,$97.45,1413329,PM,Philip Morris International Inc.,,non_tech,non_tech,https://www.sec.gov//Archives/edgar/data/1413329/000141332923000025/0001413329-23-000025-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1413329/000141332923000025/pm-20221231.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,above_ten,above_ten,19.3,19.3,,19.3,21.8,22,9527,"9,527",,"9,527","9,710","8,592",,,
47,Raytheon Technologies,48,47,47,Raytheon Technologies,absent,$143.54 B,$98.24,101829,RTX,RAYTHEON TECHNOLOGIES CORP,,tech,tech,https://www.sec.gov//Archives/edgar/data/101829/000010182923000009/0000101829-23-000009-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/101829/000010182923000009/rtx-20221231.htm,2,91,,91,83,63,,420,420,,420,442,330,,above_ten,above_ten,11.6,11.6,,11.6,15.9,-24,5327,"5,327",,"5,327","4,145","-2,928",8,7.884362681,1.708278581
48,Morgan Stanley,49,48,48,Morgan Stanley,absent,$143.49 B,$85.92,895421,MS,MORGAN STANLEY,,non_tech,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/895421/000089542123000284/ms-20221231.htm,8,427,,427,432,270,,1875,1875,,1875,2085,1312,,above_ten,above_ten,20.7,20.7,,20.7,23.1,23,5407,"5,407",,"5,407","9,068","7,111",35,34.67727021,7.897170335
49,Honeywell,50,49,49,Honeywell,absent,$137.41 B,$206.43,773840,HON,HONEYWELL INTERNATIONAL INC,,tech,tech,https://www.sec.gov//Archives/edgar/data/773840/000077384023000013/0000773840-23-000013-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/773840/000077384023000013/hon-20221231.htm,0,10,,10,11,10,,188,188,,188,217,168,,above_ten,above_ten,22.1,22.1,,22.1,22.5,19,4966,"4,966",,"4,966","5,542","4,779",4,3.785743053,0.2013693113
